3.00000000e+00, 5.56536308e-01, 1.10130092e+00, 1.13426055e+00, 2.69135550e-01, 1.96798589e-15, 2.21431521e-15, -3.55581901e-15
3.10000000e+00, 5.56568981e-01, 1.10135030e+00, 1.13430391e+00, 2.69199266e-01, 1.70694359e-15, 6.35428741e-16, -2.35655286e-15
3.20000000e+00, 5.56601652e-01, 1.10139967e+00, 1.13434727e+00, 2.69262985e-01, 5.90134911e-16, -8.01053953e-16, 8.96010462e-16
3.30000000e+00, 5.56634322e-01, 1.10144904e+00, 1.13439062e+00, 2.69326706e-01, 8.15285941e-16, -6.33512414e-15, 6.38499936e-15
3.40000000e+00, 5.56666991e-01, 1.10149840e+00, 1.13443397e+00, 2.69390429e-01, 9.70156929e-16, 3.25550406e-15, -4.82506690e-15
3.50000000e+00, 5.56699658e-01, 1.10154776e+00, 1.13447731e+00, 2.69454154e-01, 2.21764451e-14, 1.87378759e-14, -3.82360635e-14
3.60000000e+00, 7.77725840e-01, 1.29029542e+00, 1.31111243e+00, 8.98582863e-01, -4.72410262e-03, -2.18800205e-05, 4.74612544e-03
3.70000000e+00, 7.78281355e-01, 1.29094632e+00, 1.31163380e+00, 8.99485946e-01, -1.51112346e-15, 2.73239524e-15, -1.16827912e-15
3.80000000e+00, 7.78294957e-01, 1.29096323e+00, 1.31164909e+00, 8.99509557e-01, 5.76726590e-15, -4.21338305e-17, -4.64943778e-15
3.90000000e+00, 7.78308559e-01, 1.29098014e+00, 1.31166437e+00, 8.99533170e-01, 1.58662562e-15, -9.63299943e-16, -5.44511376e-16
4.00000000e+00, 7.78322161e-01, 1.29099706e+00, 1.31167966e+00, 8.99556782e-01, 7.11744777e-15, -3.88995054e-15, -1.97604897e-15
4.10000000e+00, 7.78335762e-01, 1.29101396e+00, 1.31169494e+00, 8.99580395e-01, -3.07298788e-15, -1.59437439e-15, 3.57204851e-15
4.20000000e+00, 7.78349363e-01, 1.29103087e+00, 1.31171023e+00, 8.99604009e-01, 2.63092485e-15, -1.93341398e-15, 2.10014912e-17
4.30000000e+00, 7.78362963e-01, 1.29104778e+00, 1.31172551e+00, 8.99627623e-01, -1.80919366e-16, -6.26639696e-16, 1.22008473e-15
4.40000000e+00, 7.78376563e-01, 1.29106469e+00, 1.31174079e+00, 8.99651237e-01, -2.61891786e-15, 1.71603269e-15, 6.39051931e-16
4.50000000e+00, 7.78390162e-01, 1.29108159e+00, 1.31175607e+00, 8.99674852e-01, 9.39132899e-15, 1.55324126e-15, -1.03186363e-14
4.60000000e+00, 9.99904372e-01, 1.49942566e+00, 1.49999445e+00, 1.49932580e+00, 4.14733827e-02, 3.36102463e-03, -4.48344099e-02
4.70000000e+00, 1.00000000e+00, 1.50000000e+00, 1.50000000e+00, 1.50000000e+00, 9.01049819e-31, 7.33168364e-32, -9.74366656e-31
4.80000000e+00, 1.00000000e+00, 1.50000000e+00, 1.50000000e+00, 1.50000000e+00, 9.10887636e-74, 7.41173222e-75, -9.85004958e-74
