0.00E+00	1.04E-15	7.40E-16	3.07E-15	-9.38E-16
1.00E-01	3.71E-02	1.56E-02	1.22E-02	1.06E-02
2.00E-01	7.85E-02	3.22E-02	2.46E-02	2.12E-02
3.00E-01	1.11E-01	4.89E-02	3.71E-02	3.19E-02
4.00E-01	1.11E-01	6.58E-02	4.96E-02	4.26E-02
5.00E-01	1.11E-01	8.32E-02	6.21E-02	5.33E-02
6.00E-01	1.11E-01	1.02E-01	7.44E-02	6.40E-02
7.00E-01	1.11E-01	1.11E-01	8.64E-02	7.47E-02
8.00E-01	1.11E-01	1.11E-01	9.77E-02	8.53E-02
9.00E-01	1.11E-01	1.11E-01	1.08E-01	9.57E-02
1.00E+00	1.11E-01	1.11E-01	1.18E-01	1.06E-01
1.10E+00	1.11E-01	1.11E-01	1.29E-01	1.16E-01
1.20E+00	1.11E-01	1.11E-01	1.39E-01	1.26E-01
1.30E+00	1.21E-01	1.59E-01	1.51E-01	1.36E-01
1.40E+00	1.54E-01	1.78E-01	1.63E-01	1.46E-01
1.50E+00	1.88E-01	1.98E-01	1.75E-01	1.56E-01
1.60E+00	2.99E-01	2.19E-01	1.89E-01	1.67E-01
1.70E+00	3.34E-01	2.42E-01	2.04E-01	1.77E-01
1.80E+00	3.34E-01	2.67E-01	2.20E-01	1.89E-01
1.90E+00	3.34E-01	2.96E-01	2.37E-01	2.01E-01
2.00E+00	3.34E-01	3.33E-01	2.56E-01	2.14E-01
2.10E+00	3.34E-01	3.33E-01	2.79E-01	2.29E-01
2.20E+00	3.34E-01	3.33E-01	3.05E-01	2.44E-01
2.30E+00	3.34E-01	3.33E-01	3.33E-01	2.62E-01
2.40E+00	3.34E-01	3.33E-01	3.33E-01	2.81E-01
2.50E+00	3.34E-01	3.33E-01	3.33E-01	3.04E-01
2.60E+00	3.35E-01	3.33E-01	3.33E-01	3.33E-01
2.70E+00	3.99E-01	3.33E-01	3.33E-01	3.33E-01
2.80E+00	4.27E-01	3.34E-01	3.33E-01	3.33E-01
2.90E+00	4.55E-01	3.34E-01	3.33E-01	3.33E-01
